HSCode,Commodity,Year_2022_2023,Share_Percentage_22_23,Year_2023_2024,Share_Percentage_23_24
10231,PURE-BRED BREEDING BUFFALOES,183.31,0.0001,0,0
10290,LIVE BOVNE ANMLS OTHR CATTLE AND BUFFALO,24.91,0,0,0
10410,LIVE SHEEP,"1,119.19",0.0003,239.14,0.0008
10420,LIVE GOATS,"8,091.76",0.0022,"1,330.59",0.0046
10511,FOWLS OF THE SPECIES GALLUS DOMESTICUS WT<=185 G,645.56,0.0002,30.45,0.0001
10594,FOWLS OF THE SPECIES GALLUS DOMESTICUS OTH THAN OF HEADING 01051100,47.58,0,6.72,0
10599,OTHER LIVE POULTRY WEIGHING > 185G,122.95,0,10.29,0
10619,OTHER MAMMALS,0.18,0,0,0
10690,"OTHER LIVE ANIMALS EXCLUDING MAMMALS, REPTILES AND BIRDS",3.56,0,0,0
1,LIVE ANIMALS.,"10,246.96",0.0028,"1,640.34",0.0056
20110,"CRCS AND HLF-CRCS OF BOVN ANMLS,FRSH OR CHLD",3.13,0,0,0
20130,BONELESS,"104,722.59",0.0289,"8,650.76",0.0298
20210,"CRCS HALF-CRCS OF BOVN ANMLS, FROZEN",204.83,0.0001,0,0
20220,OTHER CUTS WITH BONE IN,73.11,0,0,0
20230,BONELESS,"2,786,220.87",0.7698,"187,426.47",0.6446
20311,"CRCS AND HLF CRCS SWINE MEAT,FRESH OR CHLD",632.32,0.0002,0,0
20312,"HAMS, SHOULDERS AND CUTS THEREOF, WITH BONE IN",42.3,0,0,0
20329,"OTHER MEAT OF SWINE, FROZEN",2.93,0,0,0
20410,"CRCS AND HALF-CRCS OF LAMB, FRSH OR CHLD","12,263.16",0.0034,"1,287.64",0.0044
20421,"CRCS AND HLF CRCS OF SHEEP,FRSH OR CHLD","48,562.27",0.0134,"5,643.23",0.0194
20423,BONELESS,,0,41.39,0.0001
20430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",2.06,0,0,0
20441,CARCASSES AND HALF-CARCASSES,"1,668.07",0.0005,111.49,0.0004
20442,OTHER CUTS WITH BONE IN,"1,128.74",0.0003,175.19,0.0006
20443,BONELESS,2.12,0,36.14,0.0001
20450,MEAT OF GOATS,578.36,0.0002,36.75,0.0001
20610,"EDBL OFFAL OF BOVINE ANMLS,FRSH/CHILLED","2,549.03",0.0007,177.12,0.0006
20621,"EDIBLE TONGUES OF BOVINE ANIMALS, FROZEN","5,081.33",0.0014,418.6,0.0014
20622,"EDIBLE LIVERS OF BOVINE ANIMALS, FROZEN","9,691.60",0.0027,833.99,0.0029
20629,"OTHR EDIBLE OFFAL OF BOVINE ANIMALS,FROZEN","192,145.36",0.0531,"12,789.46",0.044
20680,"OTHER, FRESH OR CHILLED :",150.26,0,14.27,0
20690,"OTHER, FROZEN :",310.9,0.0001,0,0
20711,"MEAT/EDBL OFAL OF FOWLS OF THE SPCS GALS DOMESTICUS NOT CUT IN PIECES,FRES/CHILLED",20.79,0,0,0
20712,"MEAT/EDBL OFAL OF FOWLSOF THE SPCS GALS DOMESTICUS NOT CUT IN PIECES,FROZEN","6,081.73",0.0017,589.9,0.002
20713,"CUTS AND OFFAL, FRESH OR CHILLED",32.5,0,0,0
20714,"CUTS AND OFFAL, FROZEN","2,183.91",0.0006,249.71,0.0009
20727,"CUTS AND OFFAL, FROZEN",1.4,0,0,0
20745,"OTHER DUCKS, FROZEN",1.72,0,0,0
20755,"OTHER GEESE, FROZEN",52.05,0,0,0
21012,BELLIES (STREAKY) AND CUTS THEREOF,1.1,0,0,0
21019,"OTHR MEAT OF SWINE,SLTD,IN BRINE,DRD/SMKD",0.69,0,0,0
21020,MEAT OF BOVINE ANIMALS,6.85,0,0,0
21099,OTHER,251.81,0.0001,,
2,MEAT AND EDIBLE MEAT OFFAL.,"3,174,669.89",0.8772,"218,482.12",0.7514
